Department,turnover rate,date
AUSTIN ENERGY,0.053,09/09/2020 12:00:00 AM
AUSTIN RESOURCE RECOVERY,0.062,09/09/2020 12:00:00 AM
AUSTIN CODE,0.085,09/09/2020 12:00:00 AM
AUSTIN WATER,0.057,09/09/2020 12:00:00 AM
AUSTIN TRANSPORTATION,0.044,09/09/2020 12:00:00 AM
TARA,0.067,09/09/2020 12:00:00 AM
WATERSHED PROTECTION & DEV SVCS,0.072,09/09/2020 12:00:00 AM
MAYOR & CITY COUNCIL OFFICES,0.108,09/09/2020 12:00:00 AM
OFFICE OF REAL ESTATE,0.123,09/09/2020 12:00:00 AM
MANAGEMENT SERVICES,0.108,09/09/2020 12:00:00 AM
OFFICE OF THE CITY CLERK,0,09/09/2020 12:00:00 AM
MUNICIPAL COURT,0.076,09/09/2020 12:00:00 AM
DEVELOPMENT SERVICES,0.066,09/09/2020 12:00:00 AM
ECONOMIC DEVELOPMENT,0.153,09/09/2020 12:00:00 AM
COMMUNICATIONS/TECHNOLOGY MGT,0.063,09/09/2020 12:00:00 AM
LAW DEPARTMENT,0.087,09/09/2020 12:00:00 AM
HUMAN RESOURCES DEPT,0.109,09/09/2020 12:00:00 AM
PUBLIC INFORMATION OFFICE,0.063,09/09/2020 12:00:00 AM
DEPARTMENT OF PUBLIC WORKS,0.035,09/09/2020 12:00:00 AM
PLANNING & ZONING,0.029,09/09/2020 12:00:00 AM
FLEET SERVICES,0.04,09/09/2020 12:00:00 AM
OFFICE OF CITY AUDITOR,0.054,09/09/2020 12:00:00 AM
NEIGHBORHOOD HOUSING & COM DEV,0.082,09/09/2020 12:00:00 AM
FINANCIAL & ADMIN SERVICES TOTAL,0.086,09/09/2020 12:00:00 AM
SMALL & MINORITY BUSINESS RESOURCES,0.189,09/09/2020 12:00:00 AM
BUILDING SERVICES,0.063,09/09/2020 12:00:00 AM
AVIATION DEPARTMENT,0.065,09/09/2020 12:00:00 AM
AUSTIN FIRE DEPT,0.048,09/09/2020 12:00:00 AM
LIBRARY DEPARTMENT,0.064,09/09/2020 12:00:00 AM
PARKS & RECREATION DEPT,0.062,09/09/2020 12:00:00 AM
AUSTIN POLICE DEPT,0.059,09/09/2020 12:00:00 AM
ANIMAL SERVICES,0.141,09/09/2020 12:00:00 AM
AUSTIN PUBLIC HEALTH,0.05,09/09/2020 12:00:00 AM
AUSTIN CONVENTION CENTER,0.063,09/09/2020 12:00:00 AM
EMERGENCY MEDICAL SERVICES,0.061,09/09/2020 12:00:00 AM
ENTIRE CITY TOTAL,0.059,09/09/2020 12:00:00 AM
AUSTIN ENERGY,0.061,09/09/2019 12:00:00 AM
AUSTIN RESOURCE RECOVERY,0.117,09/09/2019 12:00:00 AM
AUSTIN CODE,0.126,09/09/2019 12:00:00 AM
AUSTIN WATER,0.075,09/09/2019 12:00:00 AM
AUSTIN TRANSPORTATION,0.09,09/09/2019 12:00:00 AM
TARA,0,09/09/2019 12:00:00 AM
WATERSHED PROTECTION & DEV SVCS,0.084,09/09/2019 12:00:00 AM
MAYOR & CITY COUNCIL OFFICES,0.282,09/09/2019 12:00:00 AM
OFFICE OF REAL ESTATE,0.154,09/09/2019 12:00:00 AM
MANAGEMENT SERVICES,0.112,09/09/2019 12:00:00 AM
OFFICE OF THE CITY CLERK,0.359,09/09/2019 12:00:00 AM
MUNICIPAL COURT,0.119,09/09/2019 12:00:00 AM
DEVELOPMENT SERVICES,0.107,09/09/2019 12:00:00 AM
ECONOMIC DEVELOPMENT,0,09/09/2019 12:00:00 AM
COMMUNICATIONS/TECHNOLOGY MGT,0.051,09/09/2019 12:00:00 AM
LAW DEPARTMENT,0.1,09/09/2019 12:00:00 AM
HUMAN RESOURCES DEPT,0.114,09/09/2019 12:00:00 AM
PUBLIC INFORMATION OFFICE,,09/09/2019 12:00:00 AM
DEPARTMENT OF PUBLIC WORKS,0.093,09/09/2019 12:00:00 AM
PLANNING & ZONING,0.13,09/09/2019 12:00:00 AM
FLEET SERVICES,0.11,09/09/2019 12:00:00 AM
OFFICE OF CITY AUDITOR,,09/09/2019 12:00:00 AM
NEIGHBORHOOD HOUSING & COM DEV,,09/09/2019 12:00:00 AM
FINANCIAL & ADMIN SERVICES TOTAL,0.075,09/09/2019 12:00:00 AM
SMALL & MINORITY BUSINESS RESOURCES,,09/09/2019 12:00:00 AM
BUILDING SERVICES,0.128,09/09/2019 12:00:00 AM
AVIATION DEPARTMENT,0.124,09/09/2019 12:00:00 AM
AUSTIN FIRE DEPT,0.045,09/09/2019 12:00:00 AM
LIBRARY DEPARTMENT,0.121,09/09/2019 12:00:00 AM
PARKS & RECREATION DEPT,0.088,09/09/2019 12:00:00 AM
AUSTIN POLICE DEPT,0.079,09/09/2019 12:00:00 AM
ANIMAL SERVICES,0.312,09/09/2019 12:00:00 AM
AUSTIN PUBLIC HEALTH,0.163,09/09/2019 12:00:00 AM
